Aaj college madhe sab log itne khush hote ki mala pan khup anand zala.,Positive
Tujhi smile dekhke mera din ekdam chan jhala.,Positive
Kal party madhe tu itna nachla ki sagle tujha video kadhat hote.,Positive
"Mi exam sathi late paryant padhta hota, lekin fir bhi fail ho gaya.",Negative
Usne mala itka ragrag kela ki mala raga aala.,Negative
"Maza mitra khup smart aahe, lekin uska nature kabhi kabhi ghamandi hota hai.",Negative
Mummy ne mala itne chhan kapde dile ki mala aai var abhimaan vatla.,Positive
Itka traffic hota ki mi train sodli ani late pochlo office la.,Negative
"Aaj cha lunch khub tasty hota, mummy ne paneer banavla hota.",Positive
Tichya attitude ne mujhe thoda hurt kiya.,Negative
"Mi kal shopping sathi gaya hota, aur mujhe ekdam pasand aale kapde.",Positive
"Majhe boss khup rude aahet, kabhi appreciate hi nahi karte.",Negative
"Tujha support mujhe hamesha himmat deta, mala bharosa ahe tujhyavar.",Positive
"Mi bike var gelo hoto, aur raste pe itna bada khadda hota.",Negative
"Aaj mi swatah cooking keli, ani sab ne khup taarif keli.",Positive
College madhla project itna bekaar tha ki mala kahi samjalach nahi.,Negative
"Tumhi je bolala te khup changla vatla, manapasun dhanyawaad.",Positive
"Mi sangitla hota ki mujhe aj paryant yevaycha ahe, par to nahi aala.",Negative
"Kalchi cricket match pahoon khup anand zala, Rohit ne zabardast batting keli.",Positive
"Aaj cha din bara hota, par pura vel mobile var gela.",Negative
