Mera mood aaj kharab tha. Mi fakta shant baslo.,Negative
Mi tula call karnar hota. Tumhara number band aa raha tha.,Negative
Kal college mein bahut maza aaya. Mi mitranchya sobat canteen la gelo hoto.,Positive
Tujhi madat khup mahatvachi hoti. Tumne sach me support diya.,Positive
Mi job sathi form bharla hota. Lekin mujhe call nahi aaya.,Negative
Mi shevti shortlist zhalo. Interview bahut acha gaya.,Positive
Majhe gharache sagle log ekatra bhetayla aale hote. Humne milke dinner kiya.,Positive
Mi office madhe gelo hoto. Ghar par koi bhi nahi tha.,Negative
Mala navi mobile ghechi hoti. Lekin mummy ne mana kiya.,Negative
Tu ekdam smart distoy. Tumhara confidence bahut inspiring hai.,Positive
Kal party madhe khup maja jhali. Sab log bohot enjoy kar rahe the.,Positive
Mi dusrya city madhe shift zhalo. Mujhe yahaan ka mahaul bilkul pasand nahi.,Negative
Tula baghun khup changla vatla. Tum hamesha ache lagte ho.,Positive
Tichya bolnyavar bharosa nahi karu shakat. Uski baatein badalte rehti hain.,Negative
Aaj gharat khup shant vatat hota. Sab log mandir gaye the.,Positive
Tyane mala maaf kela. Main apni galti maan gaya.,Positive
Mi khup mehnat kela. Lekin usne madat karne se inkaar kiya.,Negative
Amhi ganpati utsav khup utsahat sadhavla. Sabne milke pooja kiya.,Positive
To khup samajdaar aahe. Par uska gussa kabhi kabhi zyada hota hai.,Negative
Tula navin job lagli. Saglyanna gharat khup anand zala.,Positive
