"Mi kal aalo hoto, par tu ghar par nahi tha na?",Negative
"Khup chan vatla re, tujhe dekhkar mood fresh ho gaya.",Positive
Aai bolat hoti ki tu gharala yenar ka?,Neutral
"Tujhi smile, yaar, ekdam mast distay.",Positive
"Arre, uske bolne mein koi bharosa nahi hota.",Negative
"Mi tyala sangitla, lekin to sunta hi nahi.",Negative
Wah! Tu tar khup chhan disat ahes aaj.,Positive
"Maza mitra fakta majak karto, padhai ki taraf dhyan nahi deta.",Negative
"Kal bagh na, tu kasa nachat hotas!",Positive
"To saglyanna sangto ki to changla aahe, par sach kya hai?",Negative
"Tujhi madat, haan, hamesha upyogi padte.",Positive
"Arre baba, mi khup prayatna kela.",Neutral
Shevtacha result baghun mala rado aala.,Negative
Aj kal tu ekdam serious zhala ahes ka?,Neutral
Chan vatla ki tu mala madat keli.,Positive
Tichya attitude mule saglyanna problem hoto.,Negative
"Bagha na, mi kahi chuklo ka?",Neutral
Tyala bolayla kharach yet ka nahi?,Negative
Aaj office madhe boss khup ragavla hota.,Negative
Tu kiti hushar distoy! Mi proud feel karto.,Positive
